"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","131054","상품 검색 후 카테고리 버튼들이 동작 하는지 확인","chromium","Thu May 15 20:19:35 KST 2025","broken","Thu May 15 20:21:46 KST 2025","카테고리 기능 테스트","tests\ui\ui_category.spec.ts","",""
"","36068","카테고리별 정렬 동작 및 검증","Edge","Sun May 18 00:10:38 KST 2025","passed","Sun May 18 00:11:14 KST 2025","","tests\ui\ui_category.spec.ts","",""
"","18325","TC 002: '바나나' 검색 테스트","firefox","Sun May 18 00:10:07 KST 2025","passed","Sun May 18 00:10:25 KST 2025","검색 테스트","tests\ui\ui_search.spec.ts","",""
"","43587","검색 후 장바구니 담기가지 확인","firefox","Sun May 18 00:09:45 KST 2025","passed","Sun May 18 00:10:29 KST 2025","","tests\ui\ui_product_cart.spec.ts","",""
"","179110","test","Edge","Fri May 16 18:21:52 KST 2025","broken","Fri May 16 18:24:51 KST 2025","","tests\ui\ui_product_cate.spec.ts","",""
"","12390","TC 002: '바나나' 검색 테스트","Edge","Sun May 18 00:11:03 KST 2025","passed","Sun May 18 00:11:15 KST 2025","검색 테스트","tests\ui\ui_search.spec.ts","",""
"","29277","홈페이지 타이틀 확인","chromium","Sun May 18 00:08:48 KST 2025","passed","Sun May 18 00:09:17 KST 2025","","tests\ui\sample.spec.ts","",""
"","77204","검색 후 장바구니 담기가지 확인","Edge","Sat May 17 20:26:28 KST 2025","passed","Sat May 17 20:27:45 KST 2025","","tests\ui\ui_product_cate.spec.ts","",""
"","59496","카테고리별 정렬 동작 및 검증","firefox","Sun May 18 00:09:43 KST 2025","passed","Sun May 18 00:10:42 KST 2025","","tests\ui\ui_category.spec.ts","",""
"","23723","test","Edge","Thu May 15 20:31:17 KST 2025","passed","Thu May 15 20:31:41 KST 2025","","tests\ui\ui_category.spec.ts","",""
"","14202","test","","Wed May 14 18:37:22 KST 2025","passed","Wed May 14 18:37:36 KST 2025","","tests\ui\ui_search.spec.ts","",""
"","12852","홈페이지 타이틀 확인","","Tue May 13 23:54:01 KST 2025","passed","Tue May 13 23:54:14 KST 2025","","tests\ui\sample.spec.ts","",""
"","17589","공백 입력 시, 팝업 노출 확인","firefox","Sun May 18 00:09:26 KST 2025","passed","Sun May 18 00:09:44 KST 2025","","tests\ui\ui_blank_search.spec.ts","",""
"","12270","test","Edge","Sun May 18 17:46:37 KST 2025","passed","Sun May 18 17:46:49 KST 2025","","tests\ui\ui_cart_product_cancel.spec.ts","",""
"","14831","TC 002: '바나나' 검색 테스트","chromium","Sun May 18 00:09:20 KST 2025","passed","Sun May 18 00:09:35 KST 2025","검색 테스트","tests\ui\ui_search.spec.ts","",""
"","16249","홈페이지 타이틀 확인","firefox","Sun May 18 00:09:26 KST 2025","passed","Sun May 18 00:09:42 KST 2025","","tests\ui\sample.spec.ts","",""
"","18718","TC 001: '사과' 검색 테스트","firefox","Thu May 15 18:47:19 KST 2025","passed","Thu May 15 18:47:37 KST 2025","엑셀 데이터 기반 검색 테스트","tests\ui\ui_search.spec.ts","",""
"","21566","TC 001: '사과' 검색 테스트","firefox","Sun May 18 00:09:45 KST 2025","passed","Sun May 18 00:10:07 KST 2025","검색 테스트","tests\ui\ui_search.spec.ts","",""
"","36276","검색 후 장바구니 담기가지 확인","firefox","Sat May 17 20:26:28 KST 2025","passed","Sat May 17 20:27:05 KST 2025","","tests\ui\ui_product_cate.spec.ts","",""
"","32185","test","firefox","Thu May 15 20:31:17 KST 2025","passed","Thu May 15 20:31:49 KST 2025","","tests\ui\ui_category.spec.ts","",""
"","18160","TC 001: '사과' 검색 테스트","chromium","Thu May 15 18:47:19 KST 2025","passed","Thu May 15 18:47:37 KST 2025","엑셀 데이터 기반 검색 테스트","tests\ui\ui_search.spec.ts","",""
"","12991","TC 001: '사과' 검색 테스트","Edge","Sun May 18 00:10:50 KST 2025","passed","Sun May 18 00:11:03 KST 2025","검색 테스트","tests\ui\ui_search.spec.ts","",""
"","150210","test","firefox","Fri May 16 18:21:52 KST 2025","broken","Fri May 16 18:24:22 KST 2025","","tests\ui\ui_product_cate.spec.ts","",""
"","132813","상품 검색 후 카테고리 버튼들이 동작 하는지 확인","Edge","Thu May 15 20:19:36 KST 2025","broken","Thu May 15 20:21:48 KST 2025","카테고리 기능 테스트","tests\ui\ui_category.spec.ts","",""
"","178921","test","chromium","Fri May 16 18:21:52 KST 2025","broken","Fri May 16 18:24:51 KST 2025","","tests\ui\ui_product_cate.spec.ts","",""
"","22020","공백 입력 시, 팝업 노출 확인","chromium","Sun May 18 00:08:48 KST 2025","passed","Sun May 18 00:09:10 KST 2025","","tests\ui\ui_blank_search.spec.ts","",""
"","123646","상품 검색 후 카테고리 버튼들이 동작 하는지 확인","firefox","Thu May 15 20:19:35 KST 2025","broken","Thu May 15 20:21:39 KST 2025","카테고리 기능 테스트","tests\ui\ui_category.spec.ts","",""
"","24288","검색 후 장바구니 담기가지 확인","Edge","Sun May 18 00:10:52 KST 2025","passed","Sun May 18 00:11:16 KST 2025","","tests\ui\ui_product_cart.spec.ts","",""
"","22982","test","chromium","Thu May 15 20:31:17 KST 2025","passed","Thu May 15 20:31:40 KST 2025","","tests\ui\ui_category.spec.ts","",""
"","15294","TC 002: '바나나' 검색 테스트","chromium","Thu May 15 18:47:37 KST 2025","passed","Thu May 15 18:47:52 KST 2025","엑셀 데이터 기반 검색 테스트","tests\ui\ui_search.spec.ts","",""
"","21800","홈페이지 타이틀 확인","Edge","Sun May 18 00:10:01 KST 2025","passed","Sun May 18 00:10:23 KST 2025","","tests\ui\sample.spec.ts","",""
"","17599","TC 002: '바나나' 검색 테스트","Edge","Thu May 15 18:47:37 KST 2025","passed","Thu May 15 18:47:55 KST 2025","엑셀 데이터 기반 검색 테스트","tests\ui\ui_search.spec.ts","",""
"","29259","TC 001: '사과' 검색 테스트","chromium","Sun May 18 00:08:48 KST 2025","passed","Sun May 18 00:09:17 KST 2025","검색 테스트","tests\ui\ui_search.spec.ts","",""
"","18574","TC 001: '사과' 검색 테스트","Edge","Thu May 15 18:47:19 KST 2025","passed","Thu May 15 18:47:37 KST 2025","엑셀 데이터 기반 검색 테스트","tests\ui\ui_search.spec.ts","",""
"","11809","test","","Wed May 14 18:31:20 KST 2025","failed","Wed May 14 18:31:32 KST 2025","","tests\ui\ui_login.spec.ts","",""
"","12896","test","firefox","Sun May 18 17:46:37 KST 2025","passed","Sun May 18 17:46:50 KST 2025","","tests\ui\ui_cart_product_cancel.spec.ts","",""
